线号,行别,公里区间,样本量,max_acc均值,max_accP95,max_accP99,三级及以上占比,车速均值,覆盖天数,z_max_acc均值,z_max_accP95,z_三级及以上占比,原始风险分,样本权重,风险分,质量风险指数,质量等级
2001,单线,2095,159,0.048805031446540886,0.07,0.08419999999999987,0.0,78.13207547169812,24,-2.9783384155913897,-1.548807768657903,-0.15276431383805794,-1.4857030343396394,1.0,-1.4857030343396394,0.25,A(优)
2001,单线,2096,190,0.049842105263157896,0.07,0.08,0.0,74.68947368421053,25,-2.649749157408124,-1.548807768657903,-0.15276431383805794,-1.419985182702986,1.0,-1.419985182702986,0.51,A(优)
1001,单线,1008,169,0.06437869822485208,0.08,0.09,0.0,84.0414201183432,25,-1.2357268155352388,-1.9999999999999987,-0.2622374100572925,-1.4127047156213703,0.9740634005763689,-1.376063959308424,0.76,A(优)
4001,单线,4090,1976,0.057783400809716605,0.08,0.12,0.0,139.92914979757086,98,-1.5228487737453997,-1.0,-1.6219265413067327,-1.2600513900757633,1.0,-1.2600513900757633,1.01,A(优)
2001,单线,2011,114,0.04982456140350878,0.07,0.07870000000000005,0.0,81.51754385964912,26,-2.6553078010990614,-1.548807768657903,-0.15276431383805794,-1.4210969114411736,0.8603773584905661,-1.2226796068248589,1.27,A(优)
3001,上行,3060,3206,0.04752963194011229,0.07,0.1,0.0,87.45601996257018,100,-2.079931902309806,-1.3269849644704026,-0.2872147846901682,-1.2176318070932248,1.0,-1.2176318070932248,1.52,A(优)
2001,单线,2047,160,0.0543125,0.07,0.07409999999999997,0.0,79.85,25,-1.2333372619106258,-1.548807768657903,-0.15276431383805794,-1.1367028036034863,1.0,-1.1367028036034863,1.77,A(优)
3001,上行,3077,3564,0.04842592592592593,0.07,0.1,0.0002805836139169473,127.3459595959596,100,-1.7336622744277337,-1.3269849644704026,-0.1363870171103264,-1.11067093962185,1.0,-1.11067093962185,2.03,A(优)
4001,单线,4067,1156,0.056799307958477506,0.08,0.13,0.0017301038062283738,138.5916955017301,92,-2.0544743586132004,-1.0,-0.9647391628135411,-1.2020796624260255,0.9160063391442155,-1.101112590938578,2.28,A(优)
1001,单线,1025,130,0.06407692307692307,0.08,0.1,0.0,79.0923076923077,27,-1.3109079318605943,-1.9999999999999987,-0.2622374100572925,-1.4277409388864415,0.7492795389048992,-1.0697770723644806,2.53,A(优)
